trip_id,arrival_time,departure_time,stop_id,stop_sequence
20025111,7:20:00,7:20:00,0201BLC,17
20025111,7:25:00,7:25:00,0211CAT,18
20025111,7:30:00,7:30:00,0201BBP,19
20025111,7:35:00,7:35:00,0213BDT,20
20042110,6:00:00,6:00:00,0313DDS,1
20042110,6:02:00,6:02:00,0300FTY,2
20042110,6:04:00,6:04:00,0300DSC,3
20042110,6:06:00,6:06:00,0310EQT,4
20042110,6:08:00,6:08:00,0300BPS,5
20042110,6:10:00,6:10:00,0310DUN,6
20042110,6:12:00,6:12:00,0310TOT,7
20042110,6:14:00,6:14:00,0310SEN,8
20042110,6:16:00,6:16:00,0310RIS,9
20042110,6:18:00,6:18:00,0300MUT,10
20042110,6:20:00,6:20:00,0310BAO,11
20042110,6:22:00,6:22:00,0210RND,12
20042110,6:24:00,6:24:00,0200SHP,13
20042110,6:26:00,6:26:00,0210KBM,14
20042110,6:28:00,6:28:00,0200KBM,15
20042110,6:30:00,6:30:00,0200FHA,16
20042110,6:32:00,6:32:00,0200BDJ,17
20042110,6:34:00,6:34:00,0210NIS,18
20042110,6:36:00,6:36:00,0212APT,19
20042111,6:00:00,6:00:00,0212APT,1
20042111,6:05:00,6:05:00,0201DAW,2
20042111,6:10:00,6:10:00,0201KBM,3
20042111,6:15:00,6:15:00,0201SHP,4
20042111,6:20:00,6:20:00,0301RDR,5
20042111,6:25:00,6:25:00,0311BAO,6
20042111,6:30:00,6:30:00,0311RIS,7
20042111,6:35:00,6:35:00,0311SEN,8
20042111,6:40:00,6:40:00,0311TOT,9
20042111,6:45:00,6:45:00,0301AIC,10
20042111,6:50:00,6:50:00,0311NNE,11
20042111,6:55:00,6:55:00,0311DIZ,12
20042111,7:00:00,7:00:00,0311CIN,13
20042111,7:05:00,7:05:00,0311FTY,14
20042111,7:10:00,7:10:00,0311BET,15
20042111,7:15:00,7:15:00,0211IVO,16
20042111,7:20:00,7:20:00,0311JUA,17
20042111,7:25:00,7:25:00,0313DDS,18
20043110,6:00:00,6:00:00,0213NGB,1
20043110,6:05:00,6:05:00,0200SHL,2
20043110,6:10:00,6:10:00,0210ALS,3
20043110,6:15:00,6:15:00,0210DRV,4
20043110,6:20:00,6:20:00,0210KCA,5
20043110,6:25:00,6:25:00,0210SUR,6
20043110,6:30:00,6:30:00,0210MTG,7
20043110,6:35:00,6:35:00,0210PNG,8
20043110,6:40:00,6:40:00,0210KRK,9
20043110,6:45:00,6:45:00,0212NGS,10
20043111,6:00:00,6:00:00,0212NGS,1
20043111,6:05:00,6:05:00,0211KMJ,2
20043111,6:10:00,6:10:00,0201KRK,3
20043111,6:15:00,6:15:00,0201PNG,4
20043111,6:20:00,6:20:00,0211MTG,5
20043111,6:25:00,6:25:00,0211NYS,6
20043111,6:30:00,6:30:00,0211KCA,7
20043111,6:35:00,6:35:00,0211DRV,8
20043111,6:40:00,6:40:00,0201ALS,9
20043111,6:45:00,6:45:00,0211ALS,10
20043111,6:50:00,6:50:00,0200HML,11
20043111,6:55:00,6:55:00,0201SHL,12
20043111,7:00:00,7:00:00,0213NGB,13
20044110,6:00:00,6:00:00,0213KHW,1
20044110,6:05:00,6:05:00,0210MAZ,2
20044110,6:10:00,6:10:00,0200KMT,3
20044110,6:15:00,6:15:00,0210CON,4
20044110,6:20:00,6:20:00,0200JAC,5
20044110,6:25:00,6:25:00,0210MTO,6
20044110,6:30:00,6:30:00,0200AFY,7
20044110,6:35:00,6:35:00,0200GAK,8
20044110,6:40:00,6:40:00,0210EDE,9
20044110,6:45:00,6:45:00,0200CHF,10
20044110,6:50:00,6:50:00,0200CAT,11
20044110,6:55:00,6:55:00,0210GAS,12
20044110,7:00:00,7:00:00,0200MTM,13
20044110,7:05:00,7:05:00,0210MRM,14
20044110,7:10:00,7:10:00,0210RYS,15
20044110,7:15:00,7:15:00,0210STD,16
20044110,7:20:00,7:20:00,0200STD,17
20044110,7:25:00,7:25:00,0200HML,18
20044110,7:30:00,7:30:00,0210ALS,19
20044110,7:35:00,7:35:00,0210DRV,20
20044110,7:40:00,7:40:00,0210KCA,21
20044110,7:45:00,7:45:00,0210SUR,22
20044110,7:50:00,7:50:00,0210MTG,23
20044110,7:55:00,7:55:00,0210PNG,24
20044110,8:00:00,8:00:00,0200GNK,25
20044110,8:05:00,8:05:00,0210NGR,26
20044110,8:10:00,8:10:00,0212PPS,27
20044111,6:00:00,6:00:00,0212PPS,1
20044111,6:05:00,6:05:00,0211KNJ,2
20044111,6:10:00,6:10:00,0211NGR,3
20044111,6:15:00,6:15:00,0211PIO,4
20044111,6:20:00,6:20:00,0201PNG,5
20044111,6:25:00,6:25:00,0211MTG,6
20044111,6:30:00,6:30:00,0211NYS,7
20044111,6:35:00,6:35:00,0211KCA,8
