type_id,starttime,stoptime,tripduration,start_lat,start_lon,end_lat,end_lon
115,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.26162,36.725514,-1.260815263,36.71673238
125,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.331629,36.783604,-1.328715,36.788743
105,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.26373,36.72939,-1.26226,36.72651
41,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.266217232,36.84930325,-1.266946793,36.84775829
102,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.284074,36.729192,-1.283395,36.726863
102,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.28474,36.737735,-1.285904,36.73926
36,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.261435,36.886392,-1.261081,36.887801
17B,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.235586405,36.87254459,-1.245918,36.8666807
1961K,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.27834,36.90773,-1.27614,36.90885
114R,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.207146,36.785877,-1.20676,36.78382
115,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.247038,36.681033,-1.249498,36.68443
119,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.23249,36.73767,-1.22883,36.73175
39SK,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.28515,36.83094,-1.2856,36.82833
106,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.21641,36.79927,-1.21873,36.80177
38/39,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.251599908,36.93760157,-1.250485,36.940001
5,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.305259466,36.77286029,-1.305141449,36.77239895
56,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.282386,36.752367,-1.281142,36.751916
11,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.298330068,36.82838202,-1.299476624,36.82536721
15,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.307973862,36.81902647,-1.305466176,36.82514191
